Project,TransactionPrice,Area,SaleDate,SaleType,PropertyType,Tenure,CompletionDate,NumberofUnits,PurchaserType,PostalCode,Floor,MaxFloor
D'WEAVE,0,398.27,2011-11-25,New Sale,Apartment,Freehold,Uncompleted,1,HDB,387866,4,8
OUE TWIN PEAKS,0,548.96,2016-09-08,Resale,Condominium,99 yrs from 10/05/2010,2015,1,HDB,239197,10,35
AMANINDA,0,1248.62,2004-06-03,New Sale,Condominium,Freehold,2005,1,Private,307687,4,6
THE METROPOLITAN CONDOMINIUM,0,1367.03,2009-05-19,Sub Sale,Condominium,99 yrs from 17/02/2006,Uncompleted,1,Private,158747,38,44
THE ASTON,0,645.84,2020-08-12,Resale,Apartment,Freehold,2002,1,Private,248973,8,12
ATRIUM RESIDENCES,0,1044.11,2008-08-29,Sub Sale,Apartment,Freehold,2008,1,HDB,398419,4,8
DUCHESS MANOR,0,1119.46,2005-04-25,New Sale,Condominium,999 yrs from 27/12/1875,2005,1,Private,269032,1,5
WEST BAY CONDOMINIUM,0,1248.62,2005-07-31,Resale,Condominium,99 yrs from 01/03/1991,1993,1,Private,128038,1,7
URBAN EDGE @ HOLLAND V,0,1151.75,2007-07-24,Sub Sale,Apartment,Freehold,2007,1,Private,268686,1,4
THE LAKEFRONT RESIDENCES,0,1022.58,2010-12-13,New Sale,Condominium,99 yrs from 03/08/2010,Uncompleted,1,HDB,648305,7,17
TIARA,0,1280.92,2018-12-21,Resale,Condominium,Freehold,1995,1,Private,239403,17,35
SIMS URBAN OASIS,0,409.03,2015-04-07,New Sale,Condominium,99 yrs from 29/07/2014,Uncompleted,1,Private,387390,15,19
LEICESTER SUITES,0,462.85,2010-07-29,New Sale,Apartment,Freehold,Uncompleted,1,HDB,358844,13,14
THE VIEW @ MEYER,0,1797.59,2007-02-16,New Sale,Apartment,Freehold,2009,1,Private,437871,8,21
EIGHT RIVERSUITES,0,699.66,2018-06-01,Resale,Condominium,99 yrs from 11/07/2011,2016,1,HDB,338520,12,29
SOPHIA VILLA,0,1011.82,2010-12-28,Resale,Apartment,Freehold,1985,1,Private,228184,2,3
GALLOP GABLES,0,2755.58,2017-09-18,Resale,Condominium,Freehold,1997,1,Private,268851,5,5
URBAN LOFTS,0,505.91,2008-09-08,New Sale,Apartment,Freehold,Uncompleted,1,Private,218375,4,5
VANADIUM,0,2088.22,2007-05-05,Sub Sale,Apartment,Freehold,2007,1,Private,219406,5,5
BRADDELL VIEW,0,1453.14,2012-07-19,Resale,Apartment,99 yrs from 01/04/1978,1978,1,Private,579724,16,25
VILLA CHANCERY,0,2658.71,1996-01-22,Resale,Condominium,Freehold,1986,1,Private,309568,1,1
ONE AMBER,0,1334.74,2006-10-27,New Sale,Condominium,Freehold,Uncompleted,1,HDB,439957,21,23
POSHGROVE EAST,0,2206.62,2005-10-19,New Sale,Condominium,Freehold,Uncompleted,1,Private,428960,5,5
THE MONTANA,0,775.01,1999-11-18,New Sale,Apartment,Freehold,Uncompleted,1,Private,249188,7,12
BEAVERTON COURT,0,3121.56,1999-06-08,Resale,Condominium,Freehold,1984,1,Private,276958,6,19
SUITES 28,0,861.12,2011-11-03,New Sale,Apartment,Freehold,Uncompleted,1,HDB,398361,6,7
SKY VUE,0,796.54,2013-10-23,New Sale,Condominium,99 yrs from 04/03/2013,Uncompleted,1,HDB,573911,16,37
VISTA PARK,0,947.23,2016-08-05,Resale,Condominium,99 yrs from 08/01/1979,1985,1,Private,118174,2,4
REFLECTIONS AT KEPPEL BAY,0,1765.3,2017-10-16,Resale,Condominium,99 yrs from 15/03/2006,2011,1,Private,98403,5,40
TANGLIN HILL MEADOWS,0,1689.95,2006-03-28,Resale,Condominium,Freehold,1997,1,Private,248018,4,4
ONE JERVOIS,0,1011.82,2007-03-08,New Sale,Condominium,Freehold,Uncompleted,1,HDB,249099,4,12
SUITES 123,0,473.62,2010-03-17,Sub Sale,Apartment,Freehold,Uncompleted,1,HDB,218401,3,5
THE MORNINGSIDE,0,1776.06,2006-10-06,Resale,Apartment,Freehold,1992,1,Private,239639,3,25
TAIPAN REGENCY,0,1194.8,2002-04-25,New Sale,Apartment,Freehold,2002,1,HDB,438772,2,5
DOVER PARKVIEW,0,1323.97,1996-04-08,New Sale,Condominium,99 yrs from 01/12/1993,1997,1,Private,138687,1,16
TIARA,0,1506.96,1995-07-01,Sub Sale,Condominium,Freehold,1995,1,Private,239403,19,35
ASTON MANSIONS,0,1216.33,2010-02-25,Resale,Apartment,99 yrs from 13/02/1995,1998,1,HDB,398026,2,8
THE OCEANFRONT @ SENTOSA COVE,0,2454.19,2006-08-17,New Sale,Condominium,99 yrs from 10/08/2005,Uncompleted,1,Private,98528,1,15
HERITAGE VIEW,0,1162.51,2020-11-30,Resale,Condominium,99 yrs from 12/08/1996,2000,1,HDB,138679,19,20
THE TESSARINA,0,3670.52,2007-11-21,Resale,Condominium,Freehold,2003,1,Private,276306,9,10
ASCENTIA SKY,0,1474.67,2019-03-11,Resale,Condominium,99 yrs from 26/03/2008,2013,1,Private,158749,13,45
LAKE GRANDE,0,979.52,2017-01-04,New Sale,Condominium,99 yrs from 09/06/2015,Uncompleted,1,N.A,648157,14,17
RESIDENCES @ KILLINEY,0,1076.4,2009-07-21,New Sale,Apartment,Freehold,Uncompleted,1,Private,239566,2,10
THE COAST AT SENTOSA COVE,0,2626.42,2018-08-01,Resale,Condominium,99 yrs from 11/04/2006,2009,1,Private,98449,3,8
PRINCIPAL GARDEN,0,495.14,2017-06-16,New Sale,Condominium,99 yrs from 21/07/2014,Uncompleted,1,HDB,159027,12,24
THE IMPERIAL,0,979.52,2003-10-30,New Sale,Condominium,Freehold,Uncompleted,1,Private,239620,3,14
CITY SQUARE RESIDENCES,0,1216.33,2009-03-18,Sub Sale,Condominium,Freehold,2009,1,HDB,207226,17,30
8 SAINT THOMAS,0,807.3,2018-12-12,Resale,Condominium,Freehold,2018,1,HDB,238102,18,35
THE ANCHORAGE,0,1754.53,2007-07-20,Resale,Condominium,Freehold,1997,1,Private,159956,4,19
STARVILLE,0,1237.86,2011-01-05,Resale,Condominium,Freehold,2006,1,HDB,417455,10,12
THE TIER,0,495.14,2010-01-28,New Sale,Apartment,Freehold,Uncompleted,1,HDB,328373,7,18
LEVENUE,0,495.14,2012-04-19,New Sale,Apartment,Freehold,Uncompleted,1,HDB,417642,6,12
MINBU VILLA,0,2518.78,2012-03-16,Resale,Apartment,Freehold,1981,1,Private,308185,3,10
6 DERBYSHIRE,0,473.62,2017-10-12,Resale,Condominium,Freehold,2017,1,HDB,309462,6,29
DAKOTA RESIDENCES,0,1829.88,2019-08-16,Resale,Condominium,99 yrs from 11/09/2007,2010,1,Private,399938,9,19
THE ROCHESTER RESIDENCES,0,1205.57,2007-08-20,New Sale,Apartment,99 yrs from 02/02/2005,Uncompleted,1,Private,138638,25,37
RESIDENCES @ KILLINEY,0,1625.36,2009-07-21,New Sale,Apartment,Freehold,Uncompleted,1,Private,239566,5,10
AVENUE SOUTH RESIDENCE,0,656.6,2019-09-07,New Sale,Apartment,99 yrs from 14/08/2018,Uncompleted,1,HDB,168877,6,56
HERITAGE VIEW,0,1162.51,1998-10-26,New Sale,Condominium,99 yrs from 12/08/1996,2000,1,HDB,138678,18,20
GLOUCESTER MANSIONS,0,656.6,2011-01-14,Resale,Apartment,Freehold,1999,1,Private,307947,13,18
TRIBECA,0,1765.3,2012-10-15,Resale,Condominium,Freehold,2010,1,Private,239497,6,30
LEONIE SUITES,0,936.47,2012-10-04,Resale,Apartment,99 yrs from 07/01/2002,2006,1,Private,239223,13,32
THE LAKEFRONT RESIDENCES,0,990.29,2018-05-11,Resale,Condominium,99 yrs from 03/08/2010,2014,1,Private,648305,2,17
TEXTILE CENTRE,0,882.65,2020-10-28,Resale,Apartment,99 yrs from 02/06/1970,1977,1,HDB,199018,14,25
CITYLIGHTS,0,925.7,2004-12-27,New Sale,Condominium,99 yrs from 05/01/2004,Uncompleted,1,HDB,208747,10,41
2 RVG,0,893.41,2007-05-21,Sub Sale,Apartment,Freehold,2006,1,Private,238405,15,21
BAYVILLE CONDOMINIUM,0,1248.62,1999-01-01,Resale,Condominium,Freehold,1996,1,HDB,118166,2,4
THE WHARF RESIDENCE,0,1033.34,2009-06-12,Sub Sale,Condominium,999 yrs from 01/07/1841,Uncompleted,1,Private,238026,7,23
REGENT RESIDENCES,0,861.12,2012-04-23,New Sale,Apartment,Freehold,Uncompleted,1,HDB,328190,24,26
ASPEN HEIGHTS,0,1323.97,1996-05-02,New Sale,Condominium,999 yrs from 01/07/1841,1998,1,Private,238307,3,16
HAIG COURT,0,1076.4,2004-04-21,New Sale,Condominium,Freehold,2004,1,HDB,438793,12,17
PARK PLACE RESIDENCES AT PLQ,0,1076.4,2018-11-14,New Sale,Apartment,99 yrs from 29/06/2015,Uncompleted,1,Private,409055,11,17
SILVERSEA,0,979.52,2010-09-24,New Sale,Condominium,99 yrs from 20/07/2007,Uncompleted,1,Private,449307,2,20
OUE TWIN PEAKS,0,548.96,2016-05-12,Resale,Condominium,99 yrs from 10/05/2010,2015,1,Private,239197,33,35
8 BASSEIN,0,452.09,2012-05-22,New Sale,Apartment,Freehold,Uncompleted,1,Private,309838,12,14
JADESCAPE,0,764.24,2018-09-22,New Sale,Condominium,99 yrs from 19/06/2018,Uncompleted,1,N.A,575743,4,23
MIDTOWN MODERN,0,473.62,2021-03-20,New Sale,Apartment,99 yrs from 10/12/2019,Uncompleted,1,N.A,188144,20,30
HIJAUAN,0,785.77,2011-10-10,New Sale,Apartment,Freehold,Uncompleted,1,Private,229618,3,6
FOUR SEASONS PARK,0,2260.44,2018-06-29,Resale,Condominium,Freehold,1994,1,Private,249693,4,28
THOMSON IMPRESSIONS,0,1194.8,2017-01-26,New Sale,Apartment,99 yrs from 12/01/2015,Uncompleted,1,N.A,576443,4,19
THE ESTA,0,1345.5,2008-07-08,Sub Sale,Condominium,Freehold,Uncompleted,1,HDB,439966,10,21
MELROSE VILLE,0,871.88,2010-04-30,New Sale,Apartment,Freehold,Uncompleted,1,HDB,437370,3,5
CENTRA HEIGHTS,0,462.85,2011-05-11,New Sale,Apartment,Freehold,2014,1,Private,387607,9,13
THE REGENCY AT TIONG BAHRU,0,1636.13,2009-05-27,Sub Sale,Condominium,Freehold,Uncompleted,1,Private,169907,6,35
THE CENTRIS,0,936.47,2009-05-14,Sub Sale,Apartment,99 yrs from 21/06/2006,Uncompleted,1,HDB,648335,8,16
SILVERSEA,0,979.52,2013-06-18,Sub Sale,Condominium,99 yrs from 20/07/2007,Uncompleted,1,Private,449305,10,20
THE ARTE,0,1399.32,2009-06-11,New Sale,Condominium,Freehold,Uncompleted,1,Private,329215,4,34
NOVA 88,0,484.38,2011-06-09,Sub Sale,Apartment,Freehold,Uncompleted,1,HDB,329640,11,15
SUITES @ TOPAZ,0,365.98,2010-08-25,New Sale,Apartment,Freehold,Uncompleted,1,Private,327849,2,5
TANGLIN VIEW,0,1140.98,2007-07-02,Resale,Condominium,99 yrs from 17/05/1997,2001,1,Private,159012,6,20
QUEENS PEAK,0,1001.05,2020-02-14,New Sale,Condominium,99 yrs from 28/09/2015,Uncompleted,1,Private,149456,42,44
ASTRIDVILLE,0,2432.66,2006-12-18,Resale,Condominium,Freehold,1985,1,Private,268620,1,1
VARSITY PARK CONDOMINIUM,0,1528.49,2006-10-11,New Sale,Condominium,99 yrs from 03/05/2004,2008,1,Private,126831,2,5
ESTILO,0,495.14,2013-03-19,Resale,Apartment,Freehold,2010,1,Private,228071,3,5
LEEDON RESIDENCE,0,1044.11,2015-12-08,New Sale,Condominium,Freehold,2015,1,Private,266219,5,12
D'LEEDON,0,4133.38,2017-01-19,Resale,Condominium,99 yrs from 08/04/2010,2014,1,Private,267955,1,35
ASPEN HEIGHTS,0,1582.31,1999-01-01,Sub Sale,Condominium,999 yrs from 01/07/1841,1998,1,Private,238307,2,16
MARGATE POINT,0,1280.92,1996-02-09,New Sale,Apartment,Freehold,Uncompleted,1,Private,438042,13,16
THE VINES,0,1065.64,2003-12-02,New Sale,Apartment,Freehold,2003,1,Private,416736,2,5
HARBOURLIGHTS,0,731.95,1996-04-22,Sub Sale,Apartment,Freehold,1997,1,Private,98830,5,7
FLAME TREE PARK,0,1765.3,2010-05-05,Resale,Condominium,Freehold,1989,1,HDB,575728,17,28
THE SUNNY SPRING,0,1108.69,1995-05-01,New Sale,Apartment,Freehold,1998,1,HDB,398074,4,8
VISTA PARK,0,925.7,2009-02-26,Resale,Condominium,99 yrs from 08/01/1979,1985,1,Private,118170,3,4
THE GRANGE,0,2281.97,2015-03-27,Resale,Condominium,Freehold,2008,1,Private,249631,10,23
THE VERANDAH RESIDENCES,0,462.85,2018-04-07,New Sale,Apartment,Freehold,Uncompleted,1,N.A,117370,3,5
GARDEN APARTMENTS,0,2475.72,2000-04-01,Resale,Apartment,Freehold,1984,1,Private,258351,5,5
BISHAN 8,0,1162.51,2008-01-28,Resale,Condominium,99 yrs from 09/10/1996,1999,1,Private,574044,10,10
DORMER PARK,0,1679.18,1995-07-01,Resale,Condominium,Freehold,1993,1,Private,249046,1,10
THE PEAK@BALMEG,0,1711.48,2009-08-18,New Sale,Condominium,Freehold,Uncompleted,1,Private,119916,1,5
THE ANCHORAGE,0,1765.3,2011-12-06,Resale,Condominium,Freehold,1997,1,Private,159958,5,19
JERVOIS LODGE,0,1237.86,2017-09-21,Resale,Condominium,Freehold,1997,1,HDB,249034,3,4
THE TRE VER,0,1097.93,2019-10-15,New Sale,Condominium,99 yrs from 27/03/2018,Uncompleted,1,Private,358394,12,20
RESIDENCES @ EVELYN,0,1108.69,2009-11-11,Resale,Condominium,Freehold,2007,1,Private,309306,13,33
PARC RIVIERA,0,462.85,2017-02-14,New Sale,Condominium,99 yrs from 11/11/2015,Uncompleted,1,HDB,126754,31,36
STURDEE RESIDENCES,0,419.8,2016-04-23,New Sale,Condominium,99 yrs from 29/06/2015,Uncompleted,1,N.A,209955,4,30
DUO RESIDENCES,0,936.47,2013-12-06,New Sale,Apartment,99 yrs from 01/07/2011,Uncompleted,1,Private,189350,5,49
LAKEVILLE,0,775.01,2014-05-02,New Sale,Condominium,99 yrs from 30/04/2013,Uncompleted,1,HDB,648164,12,16
SOLEIL @ SINARAN,0,1722.24,2015-11-17,Resale,Condominium,99 yrs from 23/10/2006,2011,1,Private,307468,16,36
CARIBBEAN AT KEPPEL BAY,0,893.41,2009-10-02,Resale,Condominium,99 yrs from 16/08/1999,2004,1,Private,98656,2,10
D'LEEDON,0,1076.4,2011-10-31,New Sale,Condominium,99 yrs from 08/04/2010,Uncompleted,1,Private,267954,19,35
NORMANTON PARK,0,559.73,2021-01-16,New Sale,Apartment,99 yrs from 22/07/2019,Uncompleted,1,HDB,117282,9,24
THE SERENADE @ HOLLAND,0,1506.96,2002-01-18,New Sale,Condominium,99 yrs from 05/06/2001,2004,1,HDB,278698,17,20
CAIRNHILL CREST,0,1733.0,2006-12-29,Resale,Condominium,Freehold,2004,1,Private,229811,5,19
PARC ELEGANCE,0,581.26,2013-05-20,Sub Sale,Apartment,Freehold,Uncompleted,1,HDB,423912,4,5
THE GARDENS AT BISHAN,0,1205.57,2003-06-05,New Sale,Condominium,99 yrs from 22/03/1997,2004,1,HDB,575577,11,20
VENTUNO BALMORAL,0,1313.21,2009-03-15,Sub Sale,Apartment,Freehold,2008,1,Private,259805,5,11
BEACON HEIGHTS,0,893.41,2009-06-15,New Sale,Condominium,999 yrs from 02/06/1882,Uncompleted,1,Private,328689,25,27
ARENA RESIDENCES,0,807.3,2019-02-26,New Sale,Apartment,Freehold,Uncompleted,1,Private,399915,9,14
LE CRESCENDO,0,1173.28,2007-04-12,Resale,Condominium,Freehold,2006,1,Private,409044,17,19
DAKOTA RESIDENCES,0,1829.88,2017-08-17,Resale,Condominium,99 yrs from 11/09/2007,2010,1,HDB,399938,5,19
IRWELL HILL RESIDENCES,0,678.13,2021-04-10,New Sale,Apartment,99 yrs,Uncompleted,1,N.A,239590,2,36
THE AZURE,0,3164.62,2006-11-23,Sub Sale,Condominium,99 yrs from 03/01/2005,2008,1,Private,98584,6,6
SKY GREEN,0,796.54,2012-11-16,New Sale,Condominium,Freehold,Uncompleted,1,HDB,368237,2,15
PARK COLONIAL,0,1367.03,2018-10-31,New Sale,Condominium,99 yrs from 11/10/2017,Uncompleted,1,Private,357687,5,15
ISLAND VIEW,0,3595.18,2010-05-12,Resale,Condominium,Freehold,1984,1,Private,119519,1,2
THE BELVEDERE,0,1237.86,2005-08-31,New Sale,Condominium,Freehold,Uncompleted,1,Private,437876,7,24
WATER PLACE,0,1227.1,2001-05-23,New Sale,Condominium,99 yrs from 02/03/1998,2004,1,Private,436608,8,20
THE ARTE,0,1054.87,2010-12-21,Resale,Condominium,Freehold,2010,1,Private,329216,28,34
WESTCOVE CONDOMINIUM,0,1087.16,2012-06-12,Resale,Condominium,99 yrs from 01/03/1995,1998,1,Private,128042,4,17
28 RC SUITES,0,409.03,2013-10-03,New Sale,Apartment,Freehold,Uncompleted,1,HDB,218746,3,6
BRADDELL VIEW,0,1700.71,2012-01-12,Resale,Apartment,99 yrs from 25/03/1981,1981,1,Private,579726,23,25
COSTA RHU,0,1011.82,1998-04-27,Sub Sale,Condominium,99 yrs from 30/05/1994,1997,1,HDB,437434,8,17
8@WOODLEIGH,0,828.83,2009-07-22,New Sale,Condominium,99 yrs from 22/09/2008,Uncompleted,1,Private,357902,4,15
RESIDENCES @ EVELYN,0,2238.91,2006-07-28,New Sale,Condominium,Freehold,Uncompleted,1,Private,309311,27,33
WING FONG MANSIONS,0,1140.98,2006-03-08,Resale,Apartment,Freehold,1997,1,HDB,398924,8,8
BIJOU,0,1216.33,2017-10-24,New Sale,Apartment,Freehold,Uncompleted,1,N.A,119554,5,5
THE LAKESHORE,0,861.12,2012-04-18,Resale,Condominium,99 yrs from 22/11/2002,2007,1,HDB,649412,15,17
ONE AMBER,0,958.0,2006-05-04,New Sale,Condominium,Freehold,Uncompleted,1,Private,439957,8,23
THE REGENCY AT TIONG BAHRU,0,958.0,2009-03-30,Sub Sale,Condominium,Freehold,Uncompleted,1,HDB,169905,10,35
NIN RESIDENCE,0,925.7,2011-07-19,New Sale,Apartment,99 yrs from 13/09/2010,Uncompleted,1,Private,348271,9,19
HARBOURLIGHTS,0,1259.39,2015-07-15,Resale,Apartment,Freehold,1997,1,HDB,98865,1,7
PALM MANSIONS,0,1130.22,1998-06-03,New Sale,Apartment,Freehold,1998,1,HDB,118684,3,4
CITIPORT CENTRE,0,1259.39,1996-02-26,Resale,Apartment,Freehold,1982,1,Private,98828,4,6
RIVEREDGE,0,1334.74,2007-04-30,New Sale,Condominium,99 yrs from 26/02/2004,Uncompleted,1,Private,436593,5,18
CARABELLE,0,2142.04,2009-05-04,Sub Sale,Condominium,956 yrs from 27/05/1928,Uncompleted,1,Private,127017,12,12
PRESTIGE HEIGHTS,0,344.45,2009-09-09,New Sale,Apartment,Freehold,Uncompleted,1,HDB,329778,16,18
THE INTERLACE,0,1259.39,2010-04-16,New Sale,Condominium,99 yrs from 11/02/2009,Uncompleted,1,Private,109694,8,24
STIRLING RESIDENCES,0,893.41,2018-07-05,New Sale,Apartment,99 yrs from 18/08/2017,Uncompleted,1,HDB,148962,3,40
MONARCHY APARTMENTS,0,1162.51,1998-03-10,New Sale,Apartment,Freehold,1997,1,HDB,308231,2,14
GOLDENHILL PARK CONDOMINIUM,0,1539.25,2001-07-30,New Sale,Condominium,Freehold,2004,1,Private,568426,7,20
CLAREMONT,0,2185.09,2007-11-01,Resale,Apartment,Freehold,2000,1,Private,239569,10,10
ONE LEICESTER,0,904.18,2006-05-03,New Sale,Condominium,Freehold,Uncompleted,1,HDB,358828,5,18
VILLAGE @ PASIR PANJANG,0,1539.25,2014-01-27,New Sale,Condominium,Freehold,Uncompleted,1,HDB,118797,5,5
CASA FORTUNA,0,710.42,2007-12-05,New Sale,Apartment,Freehold,Uncompleted,1,Private,329981,6,18
PARC EMILY,0,893.41,2007-06-11,New Sale,Condominium,Freehold,Uncompleted,1,Private,228490,3,8
BURLINGTON SQUARE,0,871.88,2010-12-08,Resale,Apartment,99 yrs from 10/06/1996,1998,1,Private,189651,12,20
THE ANCHORAGE,0,1506.96,2007-07-11,Resale,Condominium,Freehold,1997,1,Private,159957,8,19
TANGLIN PARK,0,1022.58,2003-02-24,Resale,Condominium,Freehold,1989,1,Private,248479,2,8
GRANDEUR 8,0,1194.8,2003-07-13,New Sale,Condominium,99 yrs from 16/07/2002,2005,1,HDB,567741,2,19
SUITES AT ORCHARD,0,1076.4,2017-08-18,Resale,Apartment,99 yrs from 27/06/2007,2014,1,Private,229239,10,10
THE MAYLEA,0,1646.89,2006-01-20,New Sale,Condominium,Freehold,Uncompleted,1,HDB,117493,5,5
UE SQUARE,0,505.91,2000-04-01,Sub Sale,Apartment,929 yrs from 01/01/1953,1997,1,HDB,238275,8,18
THE LINE @ TANJONG RHU,0,570.49,2013-01-17,New Sale,Condominium,Freehold,Uncompleted,1,HDB,436883,16,20
THE TRIZON,0,2185.09,2013-06-10,New Sale,Condominium,Freehold,2012,1,Private,276693,14,23
BLUE HORIZON,0,936.47,2002-02-27,New Sale,Condominium,99 yrs from 14/08/2000,2005,1,HDB,128049,17,24
KERRISDALE,0,1270.15,2007-07-06,Resale,Condominium,99 yrs from 02/04/1998,2005,1,Private,207852,8,30
SCOTTS SQUARE,0,624.31,2015-11-23,Resale,Apartment,Freehold,2011,1,Private,228238,20,43
D'LEEDON,0,1248.62,2010-12-20,New Sale,Condominium,99 yrs from 08/04/2010,Uncompleted,1,Private,267955,24,35
THE MAKENA,0,1636.13,1996-04-09,Sub Sale,Condominium,Freehold,1998,1,Private,437934,11,28
VALLEY PARK,0,764.24,1996-04-28,Sub Sale,Condominium,999 yrs from 21/06/1877,1997,1,Private,248368,11,20
NIN RESIDENCE,0,904.18,2012-10-19,New Sale,Apartment,99 yrs from 13/09/2010,Uncompleted,1,HDB,348271,1,19
PINEWOOD GARDENS,0,1636.13,2012-12-17,Resale,Condominium,Freehold,1990,1,Private,259850,2,11
THE INTERLACE,0,1819.12,2010-04-27,New Sale,Condominium,99 yrs from 11/02/2009,Uncompleted,1,HDB,109702,14,24
GLOUCESTER MANSIONS,0,1130.22,2013-10-17,Resale,Apartment,Freehold,1999,1,Private,307947,13,18
THE ROCHESTER RESIDENCES,0,1700.71,2012-09-13,Sub Sale,Apartment,99 yrs from 02/02/2005,2011,1,Private,138638,26,37
ECHELON,0,1571.54,2013-06-14,New Sale,Condominium,99 yrs from 06/03/2012,Uncompleted,1,HDB,158741,5,41
CITY SQUARE RESIDENCES,0,839.59,2009-03-16,Sub Sale,Condominium,Freehold,2009,1,Private,207227,15,30
ECHELON,0,731.95,2013-01-18,New Sale,Condominium,99 yrs from 06/03/2012,Uncompleted,1,HDB,158742,4,41
PRINCIPAL GARDEN,0,484.38,2017-09-15,New Sale,Condominium,99 yrs from 21/07/2014,Uncompleted,1,HDB,159027,4,24
SIMS GREEN,0,1248.62,2012-04-24,Resale,Apartment,99 yrs from 06/02/2001,2003,1,Private,388133,6,8
THE VERMONT ON CAIRNHILL,0,893.41,2014-08-05,New Sale,Apartment,Freehold,2013,1,Private,229747,14,19
CASA AERATA,0,484.38,2018-06-07,Resale,Apartment,Freehold,2012,1,HDB,398484,6,8
ROBIN RESIDENCES,0,688.9,2015-04-30,New Sale,Condominium,Freehold,Uncompleted,1,Private,258261,4,5
SERENE VIEW MANSIONS,0,1130.22,2004-11-27,Resale,Condominium,Freehold,1984,1,HDB,358728,1,1
COMMONWEALTH TOWERS,0,1076.4,2017-09-01,New Sale,Condominium,99 yrs from 07/05/2013,Uncompleted,1,Private,149739,14,43
THE CENTRIS,0,1291.68,2008-05-26,Sub Sale,Apartment,99 yrs from 21/06/2006,Uncompleted,1,Private,648338,9,16
MACKENZIE 138,0,850.36,2004-12-08,New Sale,Apartment,Freehold,Uncompleted,1,HDB,228719,5,7
THE CLEMENT CANOPY,0,1345.5,2017-02-26,New Sale,Apartment,99 yrs from 09/03/2016,Uncompleted,1,HDB,129961,9,40
VERDURE,0,1420.85,2009-05-20,New Sale,Condominium,Freehold,Uncompleted,1,Private,258887,4,5
PARK INFINIA AT WEE NAM,0,2002.1,2009-08-15,Resale,Condominium,Freehold,2008,1,Private,308345,15,31
THE LAURELS,0,548.96,2011-09-13,Sub Sale,Condominium,Freehold,Uncompleted,1,Private,229658,9,19
THE POIZ RESIDENCES,0,581.26,2015-11-28,New Sale,Apartment,99 yrs from 17/11/2014,Uncompleted,1,Private,358473,15,18
CASA SARINA,0,1345.5,1998-12-17,New Sale,Condominium,Freehold,1998,1,HDB,416729,1,4
PARC RIVIERA,0,990.29,2017-04-25,New Sale,Condominium,99 yrs from 11/11/2015,Uncompleted,1,Private,126754,24,36
PENROSE,0,699.66,2020-09-26,New Sale,Apartment,99 yrs from 03/07/2019,Uncompleted,1,Private,387396,10,18
PARK INFINIA AT WEE NAM,0,1582.31,2008-08-20,Sub Sale,Condominium,Freehold,2008,1,Private,308345,8,31
SHEARES VILLE,0,1399.32,2006-03-17,Resale,Apartment,Freehold,2003,1,Private,249446,9,12
SHAW PLAZA - TWIN HEIGHTS,0,1420.85,2000-03-20,New Sale,Apartment,Freehold,1999,1,Private,329780,8,19
PARK COLONIAL,0,635.08,2018-07-05,New Sale,Condominium,99 yrs from 11/10/2017,Uncompleted,1,N.A,357657,1,15
LAKEVIEW ESTATE,0,1614.6,2010-01-21,Resale,Apartment,99 yrs from 01/06/1977,1977,1,Private,574328,21,21
TRE RESIDENCES,0,764.24,2018-01-31,New Sale,Condominium,99 yrs from 23/04/2014,Uncompleted,1,HDB,389783,12,17
VA RESIDENCES,0,624.31,2013-06-05,New Sale,Apartment,Freehold,Uncompleted,1,HDB,329583,12,15
THE VENUE RESIDENCES,0,495.14,2021-01-14,Resale,Apartment,99 yrs from 05/12/2012,2017,1,Private,347846,6,17
THE INFINITI,0,1345.5,2007-06-26,New Sale,Condominium,Freehold,Uncompleted,1,Private,127716,10,12
THE SEA VIEW,0,1646.89,2005-08-10,New Sale,Condominium,Freehold,Uncompleted,1,HDB,439945,4,22
CALARASI,0,1227.1,2006-08-25,Resale,Apartment,Freehold,2004,1,HDB,328882,12,17
VIENTO,0,452.09,2011-09-28,New Sale,Apartment,Freehold,Uncompleted,1,HDB,398362,3,8
ECHELON,0,731.95,2013-01-25,New Sale,Condominium,99 yrs from 06/03/2012,Uncompleted,1,Private,158741,22,41
THE VERTE,0,1582.31,2011-04-13,Sub Sale,Apartment,Freehold,Uncompleted,1,Private,426146,4,5
VISTA RESIDENCES,0,904.18,2010-12-15,Sub Sale,Condominium,Freehold,Uncompleted,1,HDB,329425,7,35
ASCENTIA SKY,0,1474.67,2009-10-12,New Sale,Condominium,99 yrs from 26/03/2008,Uncompleted,1,Private,158749,32,45
MANDALE HEIGHTS,0,818.06,2020-01-31,Resale,Apartment,Freehold,2004,1,Private,308225,9,18
BISHAN POINT,0,1485.43,2011-03-03,Resale,Condominium,99 yrs from 06/12/1997,2005,1,Private,579653,17,32
PEACE CENTRE/MANSIONS,0,2604.89,2012-11-06,Resale,Apartment,99 yrs from 02/06/1970,1977,1,Private,228149,25,32
THE OCEANFRONT @ SENTOSA COVE,0,1711.48,2007-04-02,Sub Sale,Condominium,99 yrs from 10/08/2005,Uncompleted,1,Private,98533,6,15
HERITAGE VIEW,0,968.76,1998-12-15,New Sale,Condominium,99 yrs from 12/08/1996,2000,1,HDB,138678,9,20
THE WATERINA,0,1345.5,2002-06-04,New Sale,Apartment,Freehold,2005,1,HDB,398081,6,8
